"original_feature","seurat_feature","changed"
"PDIK1L","PDIK1L",FALSE
"FAM110D","FAM110D",FALSE
"ZNF593","ZNF593",FALSE
"RP11-96L14.7","RP11-96L14.7",FALSE
"CNKSR1","CNKSR1",FALSE
"CATSPER4","CATSPER4",FALSE
"CEP85","CEP85",FALSE
"SH3BGRL3","SH3BGRL3",FALSE
"UBXN11","UBXN11",FALSE
"CD52","CD52",FALSE
"AIM1L","AIM1L",FALSE
"ZNF683","ZNF683",FALSE
"LIN28A","LIN28A",FALSE
"DHDDS","DHDDS",FALSE
"RP3-476K8.3","RP3-476K8.3",FALSE
"HMGN2","HMGN2",FALSE
"RPS6KA1","RPS6KA1",FALSE
"RP5-968P14.2","RP5-968P14.2",FALSE
"ARID1A","ARID1A",FALSE
"PIGV","PIGV",FALSE
"ZDHHC18","ZDHHC18",FALSE
"SFN","SFN",FALSE
"RP1-50O24.6","RP1-50O24.6",FALSE
"GPN2","GPN2",FALSE
"GPATCH3","GPATCH3",FALSE
"NUDC","NUDC",FALSE
"NR0B2","NR0B2",FALSE
"C1orf172","C1orf172",FALSE
"TRNP1","TRNP1",FALSE
"FAM46B","FAM46B",FALSE
"SLC9A1","SLC9A1",FALSE
"RP11-40H20.4","RP11-40H20.4",FALSE
"WDTC1","WDTC1",FALSE
"TMEM222","TMEM222",FALSE
"SYTL1","SYTL1",FALSE
"MAP3K6","MAP3K6",FALSE
"FCN3","FCN3",FALSE
"CD164L2","CD164L2",FALSE
"GPR3","GPR3",FALSE
"WASF2","WASF2",FALSE
"RP4-752I6.1","RP4-752I6.1",FALSE
"RP1-159A19.4","RP1-159A19.4",FALSE
"AHDC1","AHDC1",FALSE
"FGR","FGR",FALSE
"RP11-288L9.1","RP11-288L9.1",FALSE
"IFI6","IFI6",FALSE
"RP11-288L9.4","RP11-288L9.4",FALSE
"FAM76A","FAM76A",FALSE
"STX12","STX12",FALSE
"PPP1R8","PPP1R8",FALSE
"AL109927.1","AL109927.1",FALSE
"THEMIS2","THEMIS2",FALSE
"RPA2","RPA2",FALSE
"SMPDL3B","SMPDL3B",FALSE
"RP11-460I13.2","RP11-460I13.2",FALSE
"XKR8","XKR8",FALSE
"EYA3","EYA3",FALSE
"PTAFR","PTAFR",FALSE
"DNAJC8","DNAJC8",FALSE
"AL353354.1","AL353354.1",FALSE
"AL353354.2","AL353354.2",FALSE
"ATPIF1","ATPIF1",FALSE
"RP5-1092A3.4","RP5-1092A3.4",FALSE
"RP5-1092A3.5","RP5-1092A3.5",FALSE
"SESN2","SESN2",FALSE
"MED18","MED18",FALSE
"PHACTR4","PHACTR4",FALSE
"RCC1","RCC1",FALSE
"TRNAU1AP","TRNAU1AP",FALSE
"SNHG12","SNHG12",FALSE
"TAF12","TAF12",FALSE
"RAB42","RAB42",FALSE
"RP11-442N24__B.1","RP11-442N24--B.1",TRUE
"RNU11","RNU11",FALSE
"GMEB1","GMEB1",FALSE
"YTHDF2","YTHDF2",FALSE
"OPRD1","OPRD1",FALSE
"RP1-212P9.2","RP1-212P9.2",FALSE
"RP1-212P9.3","RP1-212P9.3",FALSE
"EPB41","EPB41",FALSE
"TMEM200B","TMEM200B",FALSE
"RP11-242O24.3","RP11-242O24.3",FALSE
"SRSF4","SRSF4",FALSE
"RP11-242O24.5","RP11-242O24.5",FALSE
"MECR","MECR",FALSE
"RP11-467D18.2","RP11-467D18.2",FALSE
"PTPRU","PTPRU",FALSE
"RP3-437I16.1","RP3-437I16.1",FALSE
"RP4-656G21.1","RP4-656G21.1",FALSE
"RP11-111I12.1","RP11-111I12.1",FALSE
"RP5-893G23.1","RP5-893G23.1",FALSE
"RP4-591L5.1","RP4-591L5.1",FALSE
"RP4-591L5.2","RP4-591L5.2",FALSE
"MATN1","MATN1",FALSE
"MATN1-AS1","MATN1-AS1",FALSE
"LAPTM5","LAPTM5",FALSE
"RP5-1125N11.1","RP5-1125N11.1",FALSE
"RP1-65J11.1","RP1-65J11.1",FALSE
"RP1-65J11.5","RP1-65J11.5",FALSE
"SDC3","SDC3",FALSE
"PUM1","PUM1",FALSE
"NKAIN1","NKAIN1",FALSE
"SNRNP40","SNRNP40",FALSE
"ZCCHC17","ZCCHC17",FALSE
"RP11-266K22.2","RP11-266K22.2",FALSE
"FABP3","FABP3",FALSE
"SERINC2","SERINC2",FALSE
"AC114494.1","AC114494.1",FALSE
"RP11-439L8.3","RP11-439L8.3",FALSE
"RP11-439L8.4","RP11-439L8.4",FALSE
"RP11-73M7.1","RP11-73M7.1",FALSE
"TINAGL1","TINAGL1",FALSE
"HCRTR1","HCRTR1",FALSE
"PEF1","PEF1",FALSE
"RP11-73M7.6","RP11-73M7.6",FALSE
"RP11-73M7.9","RP11-73M7.9",FALSE
"COL16A1","COL16A1",FALSE
"BAI2","BAI2",FALSE
"RP11-84A19.3","RP11-84A19.3",FALSE
"SPOCD1","SPOCD1",FALSE
